"No","Date","Pitch ID","Pitch Type","Is Strike","Strike Zone Side","Strike Zone Height","Velocity","Total Spin","True Spin (release)","Spin Efficiency (release)","Spin Direction","Spin Confidence","VB (trajectory)","HB (trajectory)","SSW VB","SSW HB","VB (spin)","HB (spin)","Horizontal Angle","Release Angle","Release Height","Release Side","Release Extension (ft)","Gyro Degree (deg)","Unique ID","Device Serial Number","SO - latLongConfidence","SO - latitude","SO - longitude","SO - rotMatConfidence","SO - timestamp","SO - Xx","SO - Xy","SO - Xz","SO - Yx","SO - Yy","SO - Yz","SO - Zx","SO - Zy","SO - Zz","Horizontal Approach Angle","Vertical Approach Angle"
39,"Sun Feb 16 2025 8:01:35 PM",1739736095,"Fastball","N","-4.81","45.78",81.96,1956.5,1775,90.7,"01:02",0.9,16.1,6.5,"-","-","16.1","9.6","-2.87","1.51","4.42","1.67",2.089712142944336,"24.87","1277838@1739736095","RBB20XMIP19R",,,,,,,,,,,,,,,"-","-"
40,"Sun Feb 16 2025 8:01:58 PM",1739736118,"Slider","N","-3.73","56.11",74.03,2072.6,409,19.7,"10:10",0.9,7.8,-1.9,"-","-","2.8","-4.8","-2.17","4.46","4.05","1.86",1.829996109008789,"78.62","1277838@1739736118","RBB20XMIP19R",,,,,,,,,,,,,,,"-","-"
41,"Sun Feb 16 2025 8:02:35 PM",1739736155,"Fastball","N","-25.01","37.69",82.41,2097.3,1759.9,83.9,"01:44",0.8,17.4,8.9,"-","-","11.2","14.1","-5.07","0.90","4.22","1.85",1.9292564392089844,"32.95","1277838@1739736155","RBB20XMIP19R",,,,,,,,,,,,,,,"-","-"
42,"Sun Feb 16 2025 8:02:57 PM",1739736177,"Fastball","N","-11.92","23.15",82.36,2020.7,1676.4,83,"01:08",0.9,10.4,7.9,"-","-","14.2","9.3","-3.69","0.06","4.23","1.67","-","33.94","1277838@1739736177","RBB20XMIP19R",,,,,,,,,,,,,,,"-","-"
43,"Sun Feb 16 2025 8:03:45 PM",1739736225,"Slider","N","-24.28","31.94",77.81,2154.4,628.6,29.2,"11:42",0.9,6.3,0.3,"-","-","6.5","-1.9","-4.28","1.87","4.13","1.87",2.0236854553222656,"73.04","1277838@1739736225","RBB20XMIP19R",,,,,,,,,,,,,,,"-","-"
44,"Sun Feb 16 2025 8:04:14 PM",1739736254,"Slider","N","-4.01","44.65",76.85,1914.3,672.2,35.1,"11:54",0.9,12,3.6,"-","-","7.7","-1.1","-2.55","2.45","4.32","1.73",1.8625335693359375,"69.44","1277838@1739736254","RBB20XMIP19R",,,,,,,,,,,,,,,"-","-"
45,"Sun Feb 16 2025 8:05:25 PM",1739736325,"Slider","N","-11.05","28.95",78.65,2086.3,716.7,34.4,"11:58",0.9,13,0.1,"-","-","7.8","-0.8","-2.95","1.04","4.15","1.81",1.835012435913086,"69.91","1277838@1739736325","RBB20XMIP19R",,,,,,,,,,,,,,,"-","-"
46,"Sun Feb 16 2025 8:05:46 PM",1739736346,"Slider","N","-10.18","36.53",78.97,2085.6,738.4,35.4,"11:58",0.9,5.9,0.8,"-","-","7.8","-0.8","-2.69","2.02","4.31","1.55",2.019258499145508,"69.27","1277838@1739736346","RBB20XMIP19R",,,,,,,,,,,,,,,"-","-"
47,"Sun Feb 16 2025 8:06:44 PM",1739736404,"Fastball","N","-20.07","24.64",83.45,2098.9,1796.1,85.6,"01:04",0.9,17,11.7,"-","-","15.7","9.7","-4.61","-0.46","4.32","1.60",1.9395198822021484,"31.16","1277838@1739736404","RBB20XMIP19R",,,,,,,,,,,,,,,"-","-"
48,"Sun Feb 16 2025 8:07:38 PM",1739736458,"Slider","N","-23.35","22.75",78.08,2180.8,586.2,26.9,"11:44",1,8.4,-1.5,"-","-","6.0","-1.7","-3.93","0.90","4.06","1.78",2.0391597747802734,"74.41","1277838@1739736458","RBB20XMIP19R",,,,,,,,,,,,,,,"-","-"
49,"Sun Feb 16 2025 8:07:56 PM",1739736476,"Slider","N","-0.63","52.73",78.57,2099.6,634.2,30.2,"11:56",0.9,11.7,-0.5,"-","-","6.8","-1.0","-1.70","3.22","4.20","1.56",1.9182453155517578,"72.42","1277838@1739736476","RBB20XMIP19R",,,,,,,,,,,,,,,"-","-"
50,"Sun Feb 16 2025 8:08:17 PM",1739736497,"Slider","Y","-4.84","42.01",75.5,2091,591.8,28.3,"10:52",0.9,3.4,-2.4,"-","-","5.5","-4.5","-2.47","3.43","4.06","2.08",1.9132251739501953,"73.56","1277838@1739736497","RBB20XMIP19R",,,,,,,,,,,,,,,"-","-"
51,"Sun Feb 16 2025 8:08:37 PM",1739736517,"Slider","Y","5.55","23.32",79.72,1968.6,645,32.8,"00:06",0.9,8.4,2.4,"-","-","7.1","-0.4","-1.55","0.66","4.20","1.69",1.9271202087402344,"70.87","1277838@1739736517","RBB20XMIP19R",,,,,,,,,,,,,,,"-","-"
52,"Sun Feb 16 2025 8:08:59 PM",1739736539,"Slider","N","-22.24","24.01",75.23,2073,624.3,30.1,"11:30",0.9,4.9,-0.4,"-","-","6.7","-2.6","-4.07","1.65","4.12","1.94",1.8811759948730469,"72.47","1277838@1739736539","RBB20XMIP19R",,,,,,,,,,,,,,,"-","-"
