
"No","Date","Pitch ID","Pitch Type","Is Strike","Strike Zone Side","Strike Zone Height","Velocity","Total Spin","True Spin (release)","Spin Efficiency (release)","Spin Direction","Spin Confidence","VB (trajectory)","HB (trajectory)","SSW VB","SSW HB","VB (spin)","HB (spin)","Horizontal Angle","Release Angle","Release Height","Release Side","Release Extension (ft)","Gyro Degree (deg)","Unique ID","Device Serial Number","SO - latLongConfidence","SO - latitude","SO - longitude","SO - rotMatConfidence","SO - timestamp","SO - Xx","SO - Xy","SO - Xz","SO - Yx","SO - Yy","SO - Yz","SO - Zx","SO - Zy","SO - Zz","Horizontal Approach Angle","Vertical Approach Angle"
49,"Sun Feb 16 2025 7:12:01 PM",1739733121,"CurveBall","N","10.98","48.81",72.76,1430.7,642.4,44.9,"06:10",0.8,1.3,2.9,"-","-","-8.3","-1.9","-2.25","2.87","5.54","2.73",2.1416054,"63.32","1269881@1739733121","RBB21ZCUO45R",,,,,,,,,,,,,,,"-","-"
50,"Sun Feb 16 2025 7:12:25 PM",1739733145,"Fastball","N","-16.53","31.07",82.49,1811.3,1656.6,91.5,"01:32",0.9,14.9,15.3,"-","-","13.0","13.6","-5.64","-1.18","5.78","2.50",2.070198,"-23.85","1269881@1739733145","RBB21ZCUO45R",,,,,,,,,,,,,,,"-","-"
51,"Sun Feb 16 2025 7:12:36 PM",1739733156,"Fastball","N","-10.88","38.42",81.79,1833.4,1620.9,88.4,"01:46",0.8,9,19.7,"-","-","10.7","14.4","-5.64","0.14","5.65","2.53","-","-27.86","1269881@1739733156","RBB21ZCUO45R",,,,,,,,,,,,,,,"-","-"
52,"Sun Feb 16 2025 7:12:50 PM",1739733170,"Fastball","N","-16.42","24.16",82.41,1875.1,1720.7,91.8,"01:28",1,17.4,12.9,"-","-","13.6","13.2","-5.54","-2.00","5.66","2.57","-","-23.42","1269881@1739733170","RBB21ZCUO45R",,,,,,,,,,,,,,,"-","-"
53,"Sun Feb 16 2025 7:13:04 PM",1739733184,"Fastball","N","-13.05","25.80",81.11,1881.3,1673.2,88.9,"01:48",0.9,15,14.5,"-","-","10.8","15.0","-5.33","-1.52","5.66","2.52","-","-27.20","1269881@1739733184","RBB21ZCUO45R",,,,,,,,,,,,,,,"-","-"
54,"Sun Feb 16 2025 7:13:17 PM",1739733197,"Fastball","N","-20.68","20.21",82.2,1972,1728.7,87.7,"01:30",0.9,11.3,15.8,"-","-","12.9","13.1","-6.11","-1.77","5.61","2.46","-","-28.76","1269881@1739733197","RBB21ZCUO45R",,,,,,,,,,,,,,,"-","-"
55,"Sun Feb 16 2025 7:13:35 PM",1739733215,"Fastball","N","-15.36","17.56",84.03,2063.1,1813.4,87.9,"01:32",0.9,13,19.1,"-","-","13.1","13.5","-6.39","-2.15","5.52","2.93","-","-28.48","1269881@1739733215","RBB21ZCUO45R",,,,,,,,,,,,,,,"-","-"
56,"Sun Feb 16 2025 7:13:56 PM",1739733236,"Fastball","Y","5.01","32.25",83.47,1988.3,1759.9,88.5,"01:46",0.8,20.1,18.1,"-","-","11.4","15.2","-4.69","-1.34","5.52","3.21",1.9997005,"-27.73","1269881@1739733236","RBB21ZCUO45R",,,,,,,,,,,,,,,"-","-"
57,"Sun Feb 16 2025 7:14:24 PM",1739733264,"Fastball","N","-12.39","29.97",83.44,1970.1,1702.9,86.4,"01:46",0.9,18.3,15.2,"-","-","10.7","14.5","-5.48","-1.56","5.60","2.67","-","-30.19","1269881@1739733264","RBB21ZCUO45R",,,,,,,,,,,,,,,"-","-"
58,"Sun Feb 16 2025 7:14:37 PM",1739733277,"Fastball","Y","-0.34","24.73",83.87,1993.7,1749.3,87.7,"01:44",0.9,13.3,18,"-","-","11.1","14.4","-4.72","-1.57","5.55","2.75","-","-28.67","1269881@1739733277","RBB21ZCUO45R",,,,,,,,,,,,,,,"-","-"
